Site,Treatment,Repetition,Nummer,mSoil_Olsen(g),mSoil_H2O(g),Abs_labile(1),Abs_Olsen(1),Abs_Olsen1_10(1),t(min),Abs(1),Pv_labile(mg/L),Pv_Olsen(mg/L),Pv_Olsen1_10(mg/L),Pv(mg/L),Dilution(1),V_H2O(L)
Reckenholz,166P,2.00,4.00,10.40,10.10,NA,3.32,NA,45.00,0.97,0.29,1.10,NA,0.29,20.00,0.20
Reckenholz,166P,2.00,4.00,10.40,10.10,NA,3.32,NA,60.00,1.01,0.31,1.10,NA,0.31,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,NA,5.00,0.32,0.03,1.17,NA,0.03,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,NA,10.00,0.32,0.04,1.17,NA,0.04,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,NA,20.00,0.32,0.04,1.17,NA,0.04,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,NA,30.00,0.33,0.04,1.17,NA,0.04,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,NA,45.00,0.32,0.03,1.17,NA,0.03,20.00,0.20
Oensingen,0P,1.00,1.00,10.10,10.00,0.54,3.50,NA,60.00,0.32,0.03,1.17,NA,0.03,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,NA,5.00,0.32,0.03,0.67,NA,0.03,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,NA,10.00,0.34,0.04,0.67,NA,0.04,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,NA,20.00,0.34,0.04,0.67,NA,0.04,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,NA,30.00,0.33,0.04,0.67,NA,0.04,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,NA,45.00,0.33,0.04,0.67,NA,0.04,20.00,0.20
Oensingen,0P,2.00,2.00,10.00,10.00,0.58,2.20,NA,60.00,0.32,0.04,0.67,NA,0.04,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,NA,5.00,0.54,0.12,1.13,NA,0.12,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,NA,10.00,0.57,0.13,1.13,NA,0.13,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,NA,20.00,0.57,0.13,1.13,NA,0.13,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,NA,30.00,0.57,0.13,1.13,NA,0.13,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,NA,45.00,0.58,0.14,1.13,NA,0.14,20.00,0.20
Oensingen,166P,1.00,3.00,10.40,10.00,0.80,3.39,NA,60.00,0.57,0.13,1.13,NA,0.13,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,NA,5.00,0.58,0.14,1.08,NA,0.14,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,NA,10.00,0.62,0.15,1.08,NA,0.15,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,NA,20.00,0.64,0.16,1.08,NA,0.16,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,NA,30.00,0.64,0.16,1.08,NA,0.16,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,NA,45.00,0.65,0.17,1.08,NA,0.17,20.00,0.20
Oensingen,166P,2.00,4.00,10.00,10.10,0.85,3.26,NA,60.00,0.64,0.16,1.08,NA,0.16,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,NA,5.00,0.34,0.04,0.58,NA,0.04,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,NA,10.00,0.37,0.06,0.58,NA,0.06,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,NA,20.00,0.38,0.06,0.58,NA,0.06,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,NA,30.00,0.37,0.05,0.58,NA,0.05,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,NA,45.00,0.37,0.05,0.58,NA,0.05,20.00,0.20
Ellinghausen,0P,1.00,1.00,10.00,10.00,0.49,1.97,NA,60.00,0.37,0.05,0.58,NA,0.05,20.00,0.20
Ellinghausen,0P,2.00,2.00,10.10,10.20,0.57,2.28,NA,5.00,0.38,0.06,0.70,NA,0.06,20.00,0.20
